"ReportDate","tot_ProAcres"
2020-04-04,0
2020-04-05,0
2020-04-06,0
2020-04-07,4.27
2020-04-08,12.3
2020-04-09,0
2020-04-10,2.1
2020-04-11,0
2020-04-12,1.58
2020-04-13,2.25
2020-04-14,9.71
2020-04-15,0.72
2020-04-16,79.42
2020-04-17,4.55
2020-04-18,0.38
2020-04-19,1.15
2020-04-20,4.24
2020-04-21,18.26
2020-04-22,0
2020-04-23,0.02
2020-04-24,0
2020-04-25,0
2020-04-26,0.46
2020-04-27,0
2020-04-28,0.37
2020-04-29,0.38
2020-04-30,0.12
2020-05-01,0.2
2020-05-02,0.2
2020-05-03,0.78
2020-05-04,0.19
2020-05-05,0.04
2020-05-06,0.12
2020-05-07,0.8
2020-05-08,22.77
2020-05-09,0.35
2020-05-10,3.11
2020-05-11,0.26
2020-05-12,0.11
2020-05-13,0.11
2020-05-14,0
2020-05-15,0.11
2020-05-16,0
2020-05-17,0.1
2020-05-18,0.03
2020-05-19,0.02
2020-05-20,0
2020-05-21,0.26
2020-05-22,0.01
2020-05-23,6.05
2020-05-24,0.2
2020-05-25,0.02
2020-05-26,0
2020-05-27,0.2
2020-05-28,0.38
2020-05-29,1.21
2020-05-30,0.54
2020-05-31,0.03
2020-06-01,0
2020-06-02,0.31
2020-06-03,0.71
2020-06-04,0
2020-06-05,0.01
2020-06-06,0.01
2020-06-07,0.24
2020-06-08,0
2020-06-09,0
2020-06-10,0.1
2020-06-11,0.36
2020-06-12,0.1
2020-06-13,0.01
2020-06-14,0.01
2020-06-15,0.01
2020-06-16,0.01
2020-06-17,0.35
2020-06-18,0.01
2020-06-19,0.17
2020-06-20,0.1
2020-06-21,0.12
2020-06-22,11
2020-06-23,2.86
2020-06-24,0
2020-06-25,0.1
2020-06-26,0.22
2020-06-27,0.19
2020-06-28,14.28
2020-06-29,0.53
2020-06-30,0.31
2020-07-01,32.35
2020-07-02,0
2020-07-03,97.44
2020-07-04,0.8
2020-07-05,10.98
2020-07-06,0
2020-07-07,1.16
2020-07-08,1.77
2020-07-09,1.01
2020-07-10,0.5
2020-07-11,2.51
2020-07-12,57.28
2020-07-13,5.6
2020-07-14,5.77
2020-07-15,86.87
2020-07-16,4.22
2020-07-17,4.21
2020-07-18,0.01
2020-07-19,62.56
2020-07-20,25.18
2020-07-21,746.79
2020-07-22,0.48
2020-07-23,28.99
2020-07-24,0.79
2020-07-25,1.53
2020-07-26,1.2
2020-07-27,18.92
2020-07-28,2.87
2020-07-29,7.92
2020-07-30,762.71
2020-07-31,3.33
2020-08-01,315.89
2020-08-02,1.46
2020-08-03,0.32
2020-08-04,0.72
2020-08-05,357.73
2020-08-06,8.32
2020-08-07,8.21
2020-08-08,9.82
2020-08-09,1.54
2020-08-10,2.12
2020-08-11,16.06
2020-08-12,985.05
2020-08-13,4.26
2020-08-14,1.75
2020-08-15,1.51
2020-08-16,158204.85
2020-08-17,5526.53
2020-08-18,1.85
2020-08-19,1787.36
2020-08-20,0.01
2020-08-21,101.14
2020-08-22,0.45
2020-08-23,4.37
2020-08-24,2.71
2020-08-25,10.17
2020-08-26,3.2
2020-08-27,2.35
2020-08-28,15.32
2020-08-29,18.24
2020-08-30,307.46
2020-08-31,0.13
2020-09-01,4.6
2020-09-02,1.86
2020-09-03,3.55
2020-09-04,330.26
2020-09-05,0.37
2020-09-06,0.52
2020-09-07,167341.5
2020-09-08,202991.62
2020-09-09,4.43
2020-09-10,0.5
2020-09-11,13.99
2020-09-12,12.9
2020-09-13,1.01
2020-09-14,0.45
2020-09-15,5.92
2020-09-16,0.12
2020-09-17,0.1
2020-09-18,0.53
2020-09-19,2.93
2020-09-20,0.41
2020-09-21,676.11
2020-09-22,0.01
2020-09-23,21.15
2020-09-24,0.54
