"Date","Source","Site ID","POC","Daily Mean PM10 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"08/26/2017","AQS","410510080","1","11","ug/m3 SC","10","Portland - SE Lafayette","1","100.0000","81102","PM10 Total 0-10um STP","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","051","Multnomah","45.496641","-122.602877"
"08/29/2017","AQS","410510080","1","49","ug/m3 SC","45","Portland - SE Lafayette","1","100.0000","81102","PM10 Total 0-10um STP","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","051","Multnomah","45.496641","-122.602877"
"09/01/2017","AQS","410510080","1","13","ug/m3 SC","12","Portland - SE Lafayette","1","100.0000","81102","PM10 Total 0-10um STP","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","051","Multnomah","45.496641","-122.602877"
"09/04/2017","AQS","410510080","1","30","ug/m3 SC","28","Portland - SE Lafayette","1","100.0000","81102","PM10 Total 0-10um STP","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","051","Multnomah","45.496641","-122.602877"
"09/07/2017","AQS","410510080","1","36","ug/m3 SC","33","Portland - SE Lafayette","1","100.0000","81102","PM10 Total 0-10um STP","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","051","Multnomah","45.496641","-122.602877"
"09/10/2017","AQS","410510080","1","6","ug/m3 SC","6","Portland - SE Lafayette","1","100.0000","81102","PM10 Total 0-10um STP","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","051","Multnomah","45.496641","-122.602877"
"09/13/2017","AQS","410510080","1","13","ug/m3 SC","12","Portland - SE Lafayette","1","100.0000","81102","PM10 Total 0-10um STP","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","051","Multnomah","45.496641","-122.602877"
"09/16/2017","AQS","410510080","1","70","ug/m3 SC","58","Portland - SE Lafayette","1","100.0000","81102","PM10 Total 0-10um STP","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","051","Multnomah","45.496641","-122.602877"
"09/19/2017","AQS","410510080","1","4","ug/m3 SC","4","Portland - SE Lafayette","1","100.0000","81102","PM10 Total 0-10um STP","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","051","Multnomah","45.496641","-122.602877"
"09/22/2017","AQS","410510080","1","16","ug/m3 SC","15","Portland - SE Lafayette","1","100.0000","81102","PM10 Total 0-10um STP","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","051","Multnomah","45.496641","-122.602877"
"09/25/2017","AQS","410510080","1","18","ug/m3 SC","17","Portland - SE Lafayette","1","100.0000","81102","PM10 Total 0-10um STP","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","051","Multnomah","45.496641","-122.602877"
"09/28/2017","AQS","410510080","1","24","ug/m3 SC","22","Portland - SE Lafayette","1","100.0000","81102","PM10 Total 0-10um STP","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","051","Multnomah","45.496641","-122.602877"
"10/01/2017","AQS","410510080","1","8","ug/m3 SC","7","Portland - SE Lafayette","1","100.0000","81102","PM10 Total 0-10um STP","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","051","Multnomah","45.496641","-122.602877"
"10/04/2017","AQS","410510080","1","20","ug/m3 SC","19","Portland - SE Lafayette","1","100.0000","81102","PM10 Total 0-10um STP","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","051","Multnomah","45.496641","-122.602877"
"10/07/2017","AQS","410510080","1","8","ug/m3 SC","7","Portland - SE Lafayette","1","100.0000","81102","PM10 Total 0-10um STP","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","051","Multnomah","45.496641","-122.602877"
"10/10/2017","AQS","410510080","1","13","ug/m3 SC","12","Portland - SE Lafayette","1","100.0000","81102","PM10 Total 0-10um STP","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","051","Multnomah","45.496641","-122.602877"
"10/13/2017","AQS","410510080","1","10","ug/m3 SC","9","Portland - SE Lafayette","1","100.0000","81102","PM10 Total 0-10um STP","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","051","Multnomah","45.496641","-122.602877"
"10/16/2017","AQS","410510080","1","30","ug/m3 SC","28","Portland - SE Lafayette","1","100.0000","81102","PM10 Total 0-10um STP","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","051","Multnomah","45.496641","-122.602877"
"10/19/2017","AQS","410510080","1","5","ug/m3 SC","5","Portland - SE Lafayette","1","100.0000","81102","PM10 Total 0-10um STP","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","051","Multnomah","45.496641","-122.602877"
"10/22/2017","AQS","410510080","1","15","ug/m3 SC","14","Portland - SE Lafayette","1","100.0000","81102","PM10 Total 0-10um STP","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","051","Multnomah","45.496641","-122.602877"
"10/25/2017","AQS","410510080","1","25","ug/m3 SC","23","Portland - SE Lafayette","1","100.0000","81102","PM10 Total 0-10um STP","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","051","Multnomah","45.496641","-122.602877"
"10/28/2017","AQS","410510080","1","22","ug/m3 SC","20","Portland - SE Lafayette","1","100.0000","81102","PM10 Total 0-10um STP","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","051","Multnomah","45.496641","-122.602877"
"10/31/2017","AQS","410510080","1","25","ug/m3 SC","23","Portland - SE Lafayette","1","100.0000","81102","PM10 Total 0-10um STP","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","051","Multnomah","45.496641","-122.602877"
"11/03/2017","AQS","410510080","1","10","ug/m3 SC","9","Portland - SE Lafayette","1","100.0000","81102","PM10 Total 0-10um STP","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","051","Multnomah","45.496641","-122.602877"
"11/06/2017","AQS","410510080","1","11","ug/m3 SC","10","Portland - SE Lafayette","1","100.0000","81102","PM10 Total 0-10um STP","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","051","Multnomah","45.496641","-122.602877"
"11/09/2017","AQS","410510080","1","9","ug/m3 SC","8","Portland - SE Lafayette","1","100.0000","81102","PM10 Total 0-10um STP","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","051","Multnomah","45.496641","-122.602877"
"11/12/2017","AQS","410510080","1","8","ug/m3 SC","7","Portland - SE Lafayette","1","100.0000","81102","PM10 Total 0-10um STP","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","051","Multnomah","45.496641","-122.602877"
"11/15/2017","AQS","410510080","1","3","ug/m3 SC","3","Portland - SE Lafayette","1","100.0000","81102","PM10 Total 0-10um STP","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","051","Multnomah","45.496641","-122.602877"
"11/18/2017","AQS","410510080","1","17","ug/m3 SC","16","Portland - SE Lafayette","1","100.0000","81102","PM10 Total 0-10um STP","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","051","Multnomah","45.496641","-122.602877"
"11/21/2017","AQS","410510080","1","6","ug/m3 SC","6","Portland - SE Lafayette","1","100.0000","81102","PM10 Total 0-10um STP","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","051","Multnomah","45.496641","-122.602877"
"11/24/2017","AQS","410510080","1","11","ug/m3 SC","10","Portland - SE Lafayette","1","100.0000","81102","PM10 Total 0-10um STP","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","051","Multnomah","45.496641","-122.602877"
"11/27/2017","AQS","410510080","1","11","ug/m3 SC","10","Portland - SE Lafayette","1","100.0000","81102","PM10 Total 0-10um STP","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","051","Multnomah","45.496641","-122.602877"
"11/30/2017","AQS","410510080","1","11","ug/m3 SC","10","Portland - SE Lafayette","1","100.0000","81102","PM10 Total 0-10um STP","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","051","Multnomah","45.496641","-122.602877"
"12/03/2017","AQS","410510080","1","7","ug/m3 SC","6","Portland - SE Lafayette","1","100.0000","81102","PM10 Total 0-10um STP","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","051","Multnomah","45.496641","-122.602877"
"12/06/2017","AQS","410510080","1","4","ug/m3 SC","4","Portland - SE Lafayette","1","100.0000","81102","PM10 Total 0-10um STP","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","051","Multnomah","45.496641","-122.602877"
"12/09/2017","AQS","410510080","1","10","ug/m3 SC","9","Portland - SE Lafayette","1","100.0000","81102","PM10 Total 0-10um STP","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","051","Multnomah","45.496641","-122.602877"
"12/12/2017","AQS","410510080","1","10","ug/m3 SC","9","Portland - SE Lafayette","1","100.0000","81102","PM10 Total 0-10um STP","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","051","Multnomah","45.496641","-122.602877"
"12/15/2017","AQS","410510080","1","25","ug/m3 SC","23","Portland - SE Lafayette","1","100.0000","81102","PM10 Total 0-10um STP","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","051","Multnomah","45.496641","-122.602877"
"12/18/2017","AQS","410510080","1","5","ug/m3 SC","5","Portland - SE Lafayette","1","100.0000","81102","PM10 Total 0-10um STP","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","051","Multnomah","45.496641","-122.602877"
"12/21/2017","AQS","410510080","1","27","ug/m3 SC","25","Portland - SE Lafayette","1","100.0000","81102","PM10 Total 0-10um STP","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","051","Multnomah","45.496641","-122.602877"
"12/24/2017","AQS","410510080","1","8","ug/m3 SC","7","Portland - SE Lafayette","1","100.0000","81102","PM10 Total 0-10um STP","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","051","Multnomah","45.496641","-122.602877"
"12/27/2017","AQS","410510080","1","19","ug/m3 SC","18","Portland - SE Lafayette","1","100.0000","81102","PM10 Total 0-10um STP","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","051","Multnomah","45.496641","-122.602877"
"12/30/2017","AQS","410510080","1","11","ug/m3 SC","10","Portland - SE Lafayette","1","100.0000","81102","PM10 Total 0-10um STP","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","051","Multnomah","45.496641","-122.602877"
"01/25/2017","AQS","410510080","2","32","ug/m3 SC","30","Portland - SE Lafayette","1","100.0000","81102","PM10 Total 0-10um STP","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","051","Multnomah","45.496641","-122.602877"
"01/31/2017","AQS","410510080","2","14","ug/m3 SC","13","Portland - SE Lafayette","1","100.0000","81102","PM10 Total 0-10um STP","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","051","Multnomah","45.496641","-122.602877"
"02/06/2017","AQS","410510080","2","4","ug/m3 SC","4","Portland - SE Lafayette","1","100.0000","81102","PM10 Total 0-10um STP","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","051","Multnomah","45.496641","-122.602877"
"02/24/2017","AQS","410510080","2","8","ug/m3 SC","7","Portland - SE Lafayette","1","100.0000","81102","PM10 Total 0-10um STP","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","051","Multnomah","45.496641","-122.602877"
"03/08/2017","AQS","410510080","2","8","ug/m3 SC","7","Portland - SE Lafayette","1","100.0000","81102","PM10 Total 0-10um STP","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","051","Multnomah","45.496641","-122.602877"
"03/20/2017","AQS","410510080","2","6","ug/m3 SC","6","Portland - SE Lafayette","1","100.0000","81102","PM10 Total 0-10um STP","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","051","Multnomah","45.496641","-122.602877"
"04/01/2017","AQS","410510080","2","11","ug/m3 SC","10","Portland - SE Lafayette","1","100.0000","81102","PM10 Total 0-10um STP","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","051","Multnomah","45.496641","-122.602877"
"04/13/2017","AQS","410510080","2","4","ug/m3 SC","4","Portland - SE Lafayette","1","100.0000","81102","PM10 Total 0-10um STP","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","051","Multnomah","45.496641","-122.602877"
"04/25/2017","AQS","410510080","2","2","ug/m3 SC","2","Portland - SE Lafayette","1","100.0000","81102","PM10 Total 0-10um STP","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","051","Multnomah","45.496641","-122.602877"
"05/19/2017","AQS","410510080","2","8","ug/m3 SC","7","Portland - SE Lafayette","1","100.0000","81102","PM10 Total 0-10um STP","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","051","Multnomah","45.496641","-122.602877"
"05/31/2017","AQS","410510080","2","7","ug/m3 SC","6","Portland - SE Lafayette","1","100.0000","81102","PM10 Total 0-10um STP","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","051","Multnomah","45.496641","-122.602877"
"06/24/2017","AQS","410510080","2","9","ug/m3 SC","8","Portland - SE Lafayette","1","100.0000","81102","PM10 Total 0-10um STP","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","051","Multnomah","45.496641","-122.602877"
"07/06/2017","AQS","410510080","2","18","ug/m3 SC","17","Portland - SE Lafayette","1","100.0000","81102","PM10 Total 0-10um STP","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","051","Multnomah","45.496641","-122.602877"
"07/18/2017","AQS","410510080","2","12","ug/m3 SC","11","Portland - SE Lafayette","1","100.0000","81102","PM10 Total 0-10um STP","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","051","Multnomah","45.496641","-122.602877"
"07/30/2017","AQS","410510080","2","5","ug/m3 SC","5","Portland - SE Lafayette","1","100.0000","81102","PM10 Total 0-10um STP","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","051","Multnomah","45.496641","-122.602877"
"08/23/2017","AQS","410510080","2","9","ug/m3 SC","8","Portland - SE Lafayette","1","100.0000","81102","PM10 Total 0-10um STP","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","051","Multnomah","45.496641","-122.602877"
"09/04/2017","AQS","410510080","2","29","ug/m3 SC","27","Portland - SE Lafayette","1","100.0000","81102","PM10 Total 0-10um STP","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","051","Multnomah","45.496641","-122.602877"
"09/16/2017","AQS","410510080","2","69","ug/m3 SC","58","Portland - SE Lafayette","1","100.0000","81102","PM10 Total 0-10um STP","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","051","Multnomah","45.496641","-122.602877"
"09/28/2017","AQS","410510080","2","23","ug/m3 SC","21","Portland - SE Lafayette","1","100.0000","81102","PM10 Total 0-10um STP","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","051","Multnomah","45.496641","-122.602877"
