Date,Daily Mean PM2.5 Concentration,DAILY_AQI_VALUE,CBSA_NAME
2022-02-04,8.1,34,"Portland-Vancouver-Hillsboro, OR-WA"
2022-02-05,7.5,31,"Portland-Vancouver-Hillsboro, OR-WA"
2022-02-06,14.6,56,"Portland-Vancouver-Hillsboro, OR-WA"
2022-02-07,16.8,61,"Portland-Vancouver-Hillsboro, OR-WA"
2022-02-08,13.9,55,"Portland-Vancouver-Hillsboro, OR-WA"
2022-02-09,17.7,63,"Portland-Vancouver-Hillsboro, OR-WA"
2022-02-10,11.3,47,"Portland-Vancouver-Hillsboro, OR-WA"
2022-02-11,5.5,23,"Portland-Vancouver-Hillsboro, OR-WA"
2022-02-12,9.8,41,"Portland-Vancouver-Hillsboro, OR-WA"
2022-02-13,14.5,56,"Portland-Vancouver-Hillsboro, OR-WA"
2022-02-14,3.5,15,"Portland-Vancouver-Hillsboro, OR-WA"
2022-02-15,6.8,28,"Portland-Vancouver-Hillsboro, OR-WA"
2022-02-16,5.5,23,"Portland-Vancouver-Hillsboro, OR-WA"
2022-02-17,7.7,32,"Portland-Vancouver-Hillsboro, OR-WA"
2022-02-18,9.3,39,"Portland-Vancouver-Hillsboro, OR-WA"
2022-02-19,12,50,"Portland-Vancouver-Hillsboro, OR-WA"
2022-02-20,2.3,10,"Portland-Vancouver-Hillsboro, OR-WA"
2022-02-21,2.9,12,"Portland-Vancouver-Hillsboro, OR-WA"
2022-02-24,12.3,51,"Portland-Vancouver-Hillsboro, OR-WA"
2022-02-25,17.7,63,"Portland-Vancouver-Hillsboro, OR-WA"
2022-02-26,13.7,54,"Portland-Vancouver-Hillsboro, OR-WA"
2022-02-27,4.6,19,"Portland-Vancouver-Hillsboro, OR-WA"
2022-02-28,0.5,2,"Portland-Vancouver-Hillsboro, OR-WA"
2022-03-01,1.2,5,"Portland-Vancouver-Hillsboro, OR-WA"
2022-03-02,1.1,5,"Portland-Vancouver-Hillsboro, OR-WA"
2022-03-03,2.3,10,"Portland-Vancouver-Hillsboro, OR-WA"
2022-03-04,2,8,"Portland-Vancouver-Hillsboro, OR-WA"
2022-03-05,6.4,27,"Portland-Vancouver-Hillsboro, OR-WA"
2022-03-06,10.1,42,"Portland-Vancouver-Hillsboro, OR-WA"
2022-03-07,12.6,52,"Portland-Vancouver-Hillsboro, OR-WA"
2022-03-08,9.2,38,"Portland-Vancouver-Hillsboro, OR-WA"
2022-03-09,3,13,"Portland-Vancouver-Hillsboro, OR-WA"
2022-03-10,7.7,32,"Portland-Vancouver-Hillsboro, OR-WA"
